1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
1 2 
1 3 
1 5 
2 1 
2 4 
2 5 
3 1 
3 5 
3 11 
4 2 
4 5 
4 6 
5 1 
5 2 
5 3 
5 4 
5 6 
5 10 
5 11 
6 4 
6 5 
6 7 
6 8 
7 6 
7 8 
7 9 
8 6 
8 7 
8 13 
8 14 
9 7 
9 14 
10 5 
10 13 
11 3 
11 5 
11 12 
11 13 
11 20 
11 21 
12 11 
12 13 
13 8 
13 10 
13 11 
13 12 
13 15 
14 8 
14 9 
14 15 
14 16 
14 17 
15 13 
15 14 
15 18 
15 20 
16 14 
17 14 
17 18 
18 15 
18 17 
18 19 
19 18 
19 20 
19 21 
20 11 
20 15 
20 19 
21 11 
21 19 
1 2 5 
1 5 2 
5 1 2 
1 3 5 
1 5 3 
5 1 3 
2 1 5 
2 5 1 
5 2 1 
3 1 5 
3 5 1 
5 3 1 
2 4 5 
2 5 4 
5 2 4 
4 2 5 
4 5 2 
5 4 2 
3 5 11 
3 11 5 
11 3 5 
5 3 11 
5 11 3 
11 5 3 
4 5 6 
4 6 5 
6 4 5 
5 4 6 
5 6 4 
6 5 4 
6 7 8 
6 8 7 
8 6 7 
7 6 8 
7 8 6 
8 7 6 
11 12 13 
11 13 12 
13 11 12 
12 11 13 
12 13 11 
13 12 11 
