1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
1 4 
1 23 
2 5 
2 23 
3 6 
3 12 
3 18 
3 24 
3 28 
4 3 
4 10 
4 14 
4 23 
5 9 
5 11 
5 24 
6 1 
6 26 
7 1 
7 9 
7 13 
7 19 
7 24 
8 3 
8 6 
8 17 
8 19 
8 21 
8 33 
9 13 
9 14 
9 22 
10 2 
10 3 
10 15 
10 27 
11 8 
11 31 
11 32 
12 1 
12 2 
12 7 
12 13 
12 15 
13 15 
14 12 
14 15 
14 16 
14 28 
14 30 
14 31 
15 3 
15 4 
15 32 
16 5 
16 8 
16 21 
16 22 
16 24 
16 33 
17 7 
17 12 
17 16 
17 31 
18 24 
18 26 
19 7 
19 13 
19 20 
20 4 
20 7 
20 19 
20 25 
21 8 
21 22 
21 23 
21 30 
22 4 
22 7 
22 8 
22 16 
22 18 
22 19 
22 26 
22 29 
23 6 
23 20 
23 33 
24 22 
24 29 
24 33 
25 15 
26 10 
26 15 
26 28 
26 33 
27 13 
27 23 
27 25 
27 29 
28 2 
28 7 
28 29 
28 30 
28 31 
29 10 
29 15 
30 1 
30 6 
30 15 
30 16 
30 18 
30 28 
31 8 
31 24 
32 33 
33 5 
1 4 23 
30 6 1 
12 7 1 
8 3 6 
3 18 24 
4 10 3 
15 4 3 
10 15 3 
16 5 24 
16 33 5 
7 9 13 
7 19 13 
19 7 13 
20 7 19 
22 7 19 
12 7 13 
17 12 7 
19 20 7 
20 19 7 
22 19 7 
22 8 19 
11 31 8 
16 8 21 
16 21 8 
16 22 8 
16 8 33 
22 16 8 
21 22 8 
26 10 15 
29 10 15 
12 13 15 
14 12 15 
14 30 15 
14 30 16 
14 28 30 
14 28 31 
14 30 28 
16 21 22 
16 24 22 
16 24 33 
22 18 26 
24 22 29 
16 21 22 8 
